/home/lujunda/.conda/envs/myyolov5/lib/python3.7/site-packages/torchvision/models/_utils.py:209: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  f"The parameter '{pretrained_param}' is deprecated since 0.13 and may be removed in the future, "
/home/lujunda/.conda/envs/myyolov5/lib/python3.7/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet50_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet50_Weights.DEFAULT` to get the most up-to-date weights.
Epoch [1/30], Batch [445/1163], Loss: 9.2283
Epoch [1/30], Batch [450/1163], Loss: 9.3320
Epoch [1/30], Batch [455/1163], Loss: 9.2089
Epoch [1/30], Batch [460/1163], Loss: 9.2615
Epoch [1/30], Batch [465/1163], Loss: 9.2504
Epoch [1/30], Batch [470/1163], Loss: 9.3055
Epoch [1/30], Batch [475/1163], Loss: 9.2827
Epoch [1/30], Batch [480/1163], Loss: 9.3142
Epoch [1/30], Batch [485/1163], Loss: 9.2870
Epoch [1/30], Batch [490/1163], Loss: 9.2380
Epoch [1/30], Batch [495/1163], Loss: 9.2662
Epoch [1/30], Batch [500/1163], Loss: 9.3693
Epoch [1/30], Batch [505/1163], Loss: 9.3636
Epoch [1/30], Batch [510/1163], Loss: 9.2883
Epoch [1/30], Batch [515/1163], Loss: 9.3399
Epoch [1/30], Batch [520/1163], Loss: 9.4056
Epoch [1/30], Batch [525/1163], Loss: 9.2433
Epoch [1/30], Batch [530/1163], Loss: 9.3371
Epoch [1/30], Batch [535/1163], Loss: 9.2983
Epoch [1/30], Batch [540/1163], Loss: 9.3674
Epoch [1/30], Batch [545/1163], Loss: 9.2854
Epoch [1/30], Batch [550/1163], Loss: 9.2638
Epoch [1/30], Batch [555/1163], Loss: 9.3054
Epoch [1/30], Batch [560/1163], Loss: 9.2993
Epoch [1/30], Batch [565/1163], Loss: 9.3246
Epoch [1/30], Batch [570/1163], Loss: 9.2888
Epoch [1/30], Batch [575/1163], Loss: 9.3375
Epoch [1/30], Batch [580/1163], Loss: 9.3990
Epoch [1/30], Batch [585/1163], Loss: 9.2898
Epoch [1/30], Batch [590/1163], Loss: 9.2731
Epoch [1/30], Batch [595/1163], Loss: 9.2947
Epoch [1/30], Batch [600/1163], Loss: 9.1792
Epoch [1/30], Batch [605/1163], Loss: 9.3038
Epoch [1/30], Batch [610/1163], Loss: 9.2151
Epoch [1/30], Batch [615/1163], Loss: 9.3194
Epoch [1/30], Batch [620/1163], Loss: 9.2446
Epoch [1/30], Batch [625/1163], Loss: 9.3852
Epoch [1/30], Batch [630/1163], Loss: 9.3186
Epoch [1/30], Batch [635/1163], Loss: 9.1658
Epoch [1/30], Batch [640/1163], Loss: 9.2556
Epoch [1/30], Batch [645/1163], Loss: 9.2883
Epoch [1/30], Batch [650/1163], Loss: 9.1760
Epoch [1/30], Batch [655/1163], Loss: 9.2365
Epoch [1/30], Batch [660/1163], Loss: 9.2677
Epoch [1/30], Batch [665/1163], Loss: 9.3382
Epoch [1/30], Batch [670/1163], Loss: 9.2915
Epoch [1/30], Batch [675/1163], Loss: 9.2559
Epoch [1/30], Batch [680/1163], Loss: 9.2892
Epoch [1/30], Batch [685/1163], Loss: 9.1927
Epoch [1/30], Batch [690/1163], Loss: 9.2844
Epoch [1/30], Batch [695/1163], Loss: 9.3297
Epoch [1/30], Batch [700/1163], Loss: 9.2955
Epoch [1/30], Batch [705/1163], Loss: 9.2337
Epoch [1/30], Batch [710/1163], Loss: 9.2171
Epoch [1/30], Batch [715/1163], Loss: 9.3120
Epoch [1/30], Batch [720/1163], Loss: 9.2536
Epoch [1/30], Batch [725/1163], Loss: 9.1969
Epoch [1/30], Batch [730/1163], Loss: 9.3602
Epoch [1/30], Batch [735/1163], Loss: 9.2414
Epoch [1/30], Batch [740/1163], Loss: 9.2547
Epoch [1/30], Batch [745/1163], Loss: 9.3040
Epoch [1/30], Batch [750/1163], Loss: 9.3404
Epoch [1/30], Batch [755/1163], Loss: 9.3026
Epoch [1/30], Batch [760/1163], Loss: 9.2537
Epoch [1/30], Batch [765/1163], Loss: 9.2405
Epoch [1/30], Batch [770/1163], Loss: 9.2285
Epoch [1/30], Batch [775/1163], Loss: 9.3922
Epoch [1/30], Batch [780/1163], Loss: 9.3483
Epoch [1/30], Batch [785/1163], Loss: 9.2357
Epoch [1/30], Batch [790/1163], Loss: 9.2402
Epoch [1/30], Batch [795/1163], Loss: 9.1550
Epoch [1/30], Batch [800/1163], Loss: 9.2850
Epoch [1/30], Batch [805/1163], Loss: 9.3895
Epoch [1/30], Batch [810/1163], Loss: 9.3114
